ORIGIN	DESTINATION	Flight Number	FREQ	DEPARTURE	ARRIVAL	AIRCRAFT	STOPS
Mumbai	Delhi	AI 0888	1234567	19:00	21:15	A-319	 
Mumbai	Delhi	AI 0660	1234567	19:40	21:40	A-320	 
Mumbai	Delhi	AI 0310	.2.4.67	20:00	22:05	B787	 
Mumbai	Delhi	AI 0314	1.3.5..	20:00	22:05	B787	 
Mumbai	Delhi	AI 0101	1234567	21:00	23:15	B777-ER	 
Mumbai	DIU	9I 0623	..3.5..	8:35	9:40	ATR-72	 
Mumbai	DIU	9I 0623	1......	12:05	13:05	ATR-72	 
Mumbai	Dubai	AI 0983	1234567	19:50	21:55	A-321	 
Mumbai	Frankfurt	AI 0125	.23.5.7	10:00	14:45	B787	 
Mumbai	Goa	AI 0033	1234567	2:00	3:20	A-320	 
Mumbai	Goa	AI 0083	1234567	5:05	6:20	A-320	 
Mumbai	Goa	AI 0663	1.3.5.7	13:30	14:45	A-319	 
Mumbai	Goa	AI 0661	1234567	16:50	18:00	A-319	 
Mumbai	Goa	AI 0683	1234567	21:10	22:20	A-320	 
Mumbai	Gwalior	9I 0627	..3.5.7	12:45	16:40	ATR-72	1
Mumbai	Hong Kong	AI 0310	.2.4.67	20:00	6:30+1	B787	1
Mumbai	Hong Kong	AI 0314	1.3.5..	20:00	6:30+1	B787	1
Mumbai	Hubli	AI 0508	..3....	16:50	17:40	A-319	 
Mumbai	Hyderabad	AI 0615	1234567	6:20	7:40	A-319	 
Mumbai	Hyderabad	AI 0617	1.3.5.7	13:55	15:25	A-319	 
Mumbai	Hyderabad	AI 0965	....5.7	15:00	16:25	B747	 
Mumbai	Hyderabad	AI 0965	.2.....	16:50	18:15	B747	 
Mumbai	Hyderabad	AI 0619	1234567	19:30	20:45	A-319	 
Mumbai	Hyderabad	AI 0050	1234567	21:05	22:25	A-319	 
Mumbai	Indore	AI 0635	1234567	7:05	8:25	A-319	 
Mumbai	Indore	9I 0627	..3.5.7	12:45	14:45	ATR-72	 
Mumbai	Jaipur	AI 0645	.2.4.6.	9:40	13:15	A-320	1
Mumbai	Jaipur	AI 0611	1.3.5.7	11:35	13:15	A-321	 
Mumbai	Jamnagar	AI 0647	1.3.5.7	11:00	12:10	A-319	 
Mumbai	Jeddah	AI 0965	....5.7	15:00	21:15	B747	1
Mumbai	Jeddah	AI 0931	1.3.5.7	16:50	19:45	B777-ER	 
Mumbai	Jeddah	AI 0965	.2.....	16:50	23:05	B747	1
Mumbai	Jodhpur	AI 0645	1.3.5.7	9:40	11:20	A-320	 
Mumbai	Jodhpur	AI 0645	.2.4.6.	9:40	11:20	A-320	 
Mumbai	Kochi	AI 0054	1234567	5:30	7:40	A-319	 
Mumbai	Kochi	AI 0681	1234567	17:20	19:15	A-320	 
Mumbai	Kolkata	AI 0675	1.3.5.7	6:10	8:45	A-319	 
Mumbai	Kolkata	AI 0774	.234..7	20:30	23:15	A-319	 
Mumbai	Kolkata	AI 0774	1...56.	20:50	23:15	A-319	 
Mumbai	Kozhikode	AI 0581	1234567	7:05	8:55	A-321	 
Mumbai	London	AI 0131	1234567	7:00	11:30	B787	 
Mumbai	Lucknow	AI 0625	1.3.5.7	8:25	10:30	A-319	 
Mumbai	Lucknow	AI 0695	.2.4.6.	10:30	12:35	A-319	 
Mumbai	Madurai	AI 0671	1.3.5.7	9:00	12:35	A-319	1
Mumbai	Mangalore	AI 0679	1.3.5.7	10:15	12:00	A-319	 
Mumbai	Muscat	AI 0985	1234567	22:00	23:25	A-321	 
Mumbai	Nagpur	AI 0627	1234567	5:50	7:20	A-319	 
Mumbai	Nagpur	AI 0629	1234567	19:00	20:35	A-320	 
Mumbai	New York	AI 0105	..3.5.7	1:00	6:55	B777-ER	 
Mumbai	New York	AI 0101	1234567	21:00	6:35	B777-ER	1
Mumbai	Newark	AI 0191	12.4.6.	1:30	7:15	B777-ER	 
Mumbai	Newark	AI 0191	..3.5.7	2:00	7:45	B777-ER	 
Mumbai	Osaka	AI 0314	1.3.5..	20:00	12:05+1	B787	2
Mumbai	Raipur	AI 0651	1.3.5.7	10:05	11:50	A-321	 
Mumbai	Raipur	AI 0651	.2.4.6.	10:05	11:50	A-321	 
Mumbai	Rajkot	AI 0655	1.3.5.7	15:55	17:05	A-319	 
Mumbai	Riyadh	AI 0921	.2.4.6.	10:30	12:30	A-320	 
Mumbai	Riyadh	AI 0921	1.3.5.7	12:30	14:30	A-320	 
Mumbai	Seoul	AI 0310	.2.4.67	20:00	12:05+1	B787	2
Mumbai	Shanghai	AI 0348	.2.4567	8:15	20:20	B787	1
Mumbai	Shirdi	9I 0653	......7	8:35	9:30	ATR-72	 
Mumbai	Shirdi	9I 0653	1......	15:15	16:10	ATR-72	 
Mumbai	Singapore	AI 0342	1234567	23:50	7:45+1	A-320	 
Mumbai	Surat	9I 0649	..3.5.7	5:50	6:45	ATR-72	 
Mumbai	Thiruvananthapuram	AI 0667	1234567	17:25	19:40	A-319	 
Mumbai	Udaipur	AI 0643	1.3.5.7	14:10	15:40	A-320	 
Mumbai	Varanasi	AI 0695	1.3.5.7	10:30	12:40	A-319	 
Mumbai	Varanasi	AI 0695	.2.4.6.	10:30	14:20	A-319	1
Mumbai	Visakhapatnam	AI 0651	1.3.5.7	10:05	13:35	A-321	1
Mumbai	Visakhapatnam	AI 0651	.2.4.6.	10:05	13:35	A-321	1
Muscat	Ahmedabad	AI 0986	1234567	0:20	6:45	A-321	1
Muscat	Bengaluru	AI 0978	1.3.5..	22:50	5:25+1	A-319	1
Muscat	Chennai	AI 0908	1234567	23:00	3:55+1	A-319	 
Muscat	Delhi	AI 0974	1234567	23:10	3:45+1	A-321	 
Muscat	Hyderabad	AI 0978	1.3.5..	22:50	3:35+1	A-319	 
Muscat	Mumbai	AI 0986	1234567	0:20	4:25	A-321	 
Nagpur	Delhi	AI 0470	.23.5.7	8:25	10:15	A-320	 
Nagpur	Delhi	AI 0469	1..4.6.	8:45	10:35	A-320	 
Nagpur	Mumbai	AI 0628	1234567	7:55	9:20	A-319	 
Nagpur	Mumbai	AI 0630	1234567	21:15	22:55	A-320	 
Nanded	Amritsar	AI 0816	.....67	13:50	16:30	A-320	 
Nanded	Chandigarh	AI 0818	.23....	12:05	14:20	A-320	 
Nanded	Delhi	AI 0456	1..4...	17:45	19:30	A-319	 
Nasik	Ahmedabad	9I 0871	123456	8:55	10:50	ATR-72	 
Nasik	Hyderabad	9I 0872	......7	8:55	10:50	ATR-72	 
Nasik	Hyderabad	9I 0872	123456	13:00	14:50	ATR-72	 
New York	Delhi	AI 0102	1234567	14:25	14:50+1	B777-ER	 
New York	Mumbai	AI 0106	......7	11:05	12:10+1	B777-ER	 
New York	Mumbai	AI 0102	1234567	14:25	19:10+1	B777-ER	1
New York	Mumbai	AI 0106	..3.5..	16:45	17:50+1	B777-ER	 
Newark	Delhi	AI 0144	.2.4.67	13:15	19:10+1	B777-ER	1
Newark	Delhi	AI 0144	1.3.5..	16:15	20:35+1	B777-ER	1
Newark	Mumbai	AI 0144	.2.4.67	13:15	14:10+1	B777-ER	 
Newark	Mumbai	AI 0144	1.3.5..	16:15	17:10+1	B777-ER	 
Osaka	Delhi	AI 0315	.2.4.6.	13:25	21:30	B787	1
Osaka	Hong Kong	AI 0315	.2.4.6.	13:25	16:35	B787	 
Osaka	Mumbai	AI 0315	.2.4.6.	13:25	1:25+1	B787	2
Pantnagar	Dehra Dun	9I 0823	..3..67	13:40	14:40	ATR-42	 
Pantnagar	Dehra Dun	9I 0823	....5..	14:00	14:50	ATR-42	 
Pantnagar	Delhi	9I 0816	..3.567	16:30	17:40	ATR-42	 
Paris	Chennai	AI 0142	1234567	21:00	15:15+1	B787	1
Paris	Delhi	AI 0142	1234567	21:00	10:00+1	B787	 
Pasighat	Lilabari	9I 0733	1.3.5.7	9:25	10:00	ATR-72	 
Pathankot	Delhi	9I 0836	12.4...	14:00	15:30	ATR-42	 
Patna	Delhi	AI 0410	1234567	12:40	14:40	A-319	 
Patna	Delhi	AI 0408	1234567	15:55	17:40	A-319	 
Patna	Delhi	AI 0416	1234567	19:10	20:55	A-320	 
Port Blair	Chennai	AI 0550	1234567	8:00	10:10	A-321	 
Port Blair	Chennai	AI 0552	.2.45.7	13:20	15:35	A-320	 
Port Blair	Delhi	AI 0486	.23.5.7	9:45	14:45	A-320	1
Port Blair	Delhi	AI 0486	1..4.6.	10:50	14:30	A-320	 
Port Blair	Delhi	AI 0488	1...5..	12:30	17:45	A-320	1
Port Blair	Kolkata	AI 0788	1234567	8:30	10:35	A-319	 
Port Blair	Visakhapatnam	AI 0486	.23.5.7	9:45	11:55	A-320	 
Port Blair	Visakhapatnam	AI 0488	1...5..	12:30	14:35	A-320	 
Pune	Chandigarh	AI 0814	1..45..	12:20	14:55	A-320	 
Pune	Delhi	AI 0852	1234567	7:40	9:45	A-320	 
Pune	Delhi	AI 0850	1234567	18:50	20:55	A-320	 
Pune	Delhi	AI 0854	1234567	22:00	0:25+1	A-321	 
Pune	Goa	9I 0561	12345.7	11:40	12:50	ATR-72	 
Pune	Hyderabad	9I 0562	12345.7	15:15	16:55	ATR-72	 
Pune	Hyderabad	9I 0868	1234567	21:10	22:45	ATR-72	 
Raipur	Bhopal	9I 0684	1234567	17:45	19:25	ATR-72	 
Raipur	Delhi	AI 0469	1..4.6.	7:45	10:35	A-320	1
Raipur	Delhi	AI 0478	.23.5.7	7:45	9:15	A-319	 
Raipur	Jaipur	9I 0684	1234567	17:45	21:15	ATR-72	1
Raipur	Kolkata	9I 0720	1234567	17:50	21:00	ATR-72	1
Raipur	Mumbai	AI 0651	1.3.5.7	12:30	16:25	A-321	1
Raipur	Mumbai	AI 0651	.2.4.6.	12:30	17:00	A-321	1
Raipur	Nagpur	AI 0469	1..4.6.	7:45	8:10	A-320	 
Raipur	Ranchi	9I 0720	1234567	17:50	19:15	ATR-72	 
Raipur	Visakhapatnam	AI 0651	1.3.5.7	12:30	13:35	A-321	 
Raipur	Visakhapatnam	AI 0651	.2.4.6.	12:30	13:35	A-321	 
Rajkot	Delhi	AI 0498	1..4.6.	7:35	8:55	A-319	 
Rajkot	Delhi	AI 0496	.2.....	19:15	20:55	A-319	 
Rajkot	Delhi	AI 0496	..3.5.7	19:30	21:10	A-319	 
Rajkot	Mumbai	AI 0656	1.3.5.7	17:40	18:45	A-319	 
Ranchi	Bhubaneswar	9I 0727	1234567	7:50	8:50	ATR-72	 
Ranchi	Delhi	AI 0418	1234567	13:25	15:30	A-320	 
Ranchi	Kolkata	9I 0727	1234567	7:50	11:10	ATR-72	1
Ranchi	Kolkata	9I 0720	1234567	19:45	21:00	ATR-72	 
Ranchi	Raipur	9I 0719	1234567	15:45	17:20	ATR-72	 
Riyadh	Ahmedabad	AI 0922	.2.....	6:45	13:00	A-320	 
Riyadh	Delhi	AI 0926	1..4.6.	15:45	22:40	A-320	 
Riyadh	Kochi	AI 0924	.2....7	15:45	23:15	A-320	 
Riyadh	Mumbai	AI 0922	1.3.5.7	6:45	13:20	A-320	 
Riyadh	Mumbai	AI 0922	.2.....	6:45	17:25	A-320	1
Riyadh	Mumbai	AI 0922	...4.6.	13:15	19:50	A-320	 
Riyadh	Thiruvananthapuram	AI 0928	..3.5..	15:45	23:15	A-320	 
Rome	Delhi	AI 0122	..3.5.7	19:40	7:15+1	B787	 
San Francisco	Bengaluru	AI 0174	1.34567	10:30	20:25+1	B777-LR	1
San Francisco	Delhi	AI 0184	1.3..6.	1:00	7:00+1	B777-LR	 
San Francisco	Delhi	AI 0174	1.34567	10:30	16:05+1	B777-LR	 
Seoul	Delhi	AI 0317	1.3.5.7	13:50	21:30	B787	1
Seoul	Hong Kong	AI 0317	1.3.5.7	13:50	16:35	B787	 
Seoul	Mumbai	AI 0317	1.3.5.7	13:50	1:25+1	B787	2
Shanghai	Delhi	AI 0349	.2.4567	22:00	2:45+1	B787	 
Shanghai	Mumbai	AI 0349	.2.4567	22:00	6:15+1	B787	1
Sharjah	Chennai	AI 0968	1234567	0:05	7:15	A-320	1
Sharjah	Kozhikode	AI 0998	1234567	1:00	6:10	A-321	 
Sharjah	Thiruvananthapuram	AI 0968	1234567	0:05	5:30	A-320	 
Shillong	Kolkata	9I 0712	1234567	16:00	17:45	ATR-72	 
Shirdi	Hyderabad	9I 0870	1234567	16:40	18:50	ATR-72	 
Shirdi	Mumbai	9I 0654	......7	9:55	11:05	ATR-72	 
Shirdi	Mumbai	9I 0654	1......	16:35	17:25	ATR-72	 
Silchar	Kolkata	AI 0754	1....6.	7:40	8:50	A-319	 
Silchar	Kolkata	AI 0754	.2345.7	7:40	8:50	A-319	 
Shimla	Delhi	9I 0804	1234.67	9:30	10:45	ATR-42	 
Shimla	Delhi	9I 0804	....5..	10:45	11:55	ATR-42	 
Singapore	Chennai	AI 0347	1234567	9:00	10:25	A-320	 
Singapore	Delhi	AI 0381	1234567	8:20	11:30	B787	 
Singapore	Delhi	AI 0383	1234567	23:00	2:20+1	B787	 
Singapore	Mumbai	AI 0343	1234567	19:45	22:20	A-320	 
Srinagar	Delhi	AI 0828	.2.4.67	11:30	13:00	A-320	 
Srinagar	Delhi	AI 0826	1234567	12:25	14:05	A-321	 
Srinagar	Delhi	AI 0822	1234567	14:20	17:10	A-319	1
Srinagar	Jammu	AI 0822	1234567	14:20	15:05	A-319	 
Srinagar	Leh	AI 0447	..34...	10:15	11:15	A-319	 
Stockholm	Delhi	AI 0168	..3.5.7	19:45	6:55+1	B787	 
Surat	Delhi	AI 0494	1234567	7:45	9:15	A-319	 
Surat	Delhi	AI 0490	1..4...	21:25	23:05	A-319	 
Surat	Delhi	AI 0490	.23.567	21:25	23:05	A-319	 
Surat	Mumbai	9I 0650	..3.5.7	7:10	7:55	ATR-72	 
Sydney	Delhi	AI 0301	.2..5.7	10:45	17:50	B787	 
Sydney	Delhi	AI 0301	..3....	11:35	18:40	B787	 
Sydney	Delhi	AI 0301	.....6.	11:35	18:50	B787	 
Tel Aviv	Delhi	AI 0140	12.4.67	21:25	7:25+1	B787	 
Tezpur	Guwahati	9I 0732	.2.4.6.	8:50	9:30	ATR-72	 
Tezpur	Kolkata	9I 0732	.2.4.6.	8:50	11:30	ATR-72	1
Thiruvananthapuram	Bengaluru	AI 0584	.2.....	11:15	12:30	A-319	 
Thiruvananthapuram	Chennai	AI 0968	1234567	6:15	7:15	A-320	 
Thiruvananthapuram	Delhi	AI 0466	12.4.6.	6:05	10:50	A-321	1
Thiruvananthapuram	Delhi	AI 0466	..3.5.7	6:05	11:05	A-321	1
Thiruvananthapuram	Delhi	AI 0264	.2.....	19:20	22:35	A-320	 
Thiruvananthapuram	Delhi	AI 0264	1..4567	21:40	1:05+1	A-320	 
Thiruvananthapuram	Delhi	AI 0264	..3....	21:40	1:05+1	A-320	 
Thiruvananthapuram	Kochi	AI 0466	12.4.6.	6:05	6:50	A-321	 
Thiruvananthapuram	Kochi	AI 0466	..3.5.7	6:05	6:50	A-321	 
Thiruvananthapuram	Male	AI 0263	1234567	9:20	10:05	A-320	 
Thiruvananthapuram	Mumbai	AI 0668	1234567	20:15	22:25	A-319	 
Thiruvananthapuram	Riyadh	AI 0927	...4.6.	8:45	11:50	A-320	 
Thiruvananthapuram	Sharjah	AI 0967	1234567	20:40	23:05	A-320	 
Tiruchirapalli	Chennai	9I 0558	1234567	7:10	8:10	ATR-72	 
Tiruchirapalli	Chennai	9I 0556	1234567	14:10	15:25	ATR-72	 
Tirupati	Delhi	AI 0541	1..4...	14:15	18:30	A-321	1
Tirupati	Delhi	AI 0541	.23.567	14:15	18:40	A-321	1
Tirupati	Hyderabad	AI 0541	1..4...	14:15	15:20	A-321	 
Tirupati	Hyderabad	AI 0541	.23.567	14:15	15:20	A-321	 
Tirupati	Hyderabad	9I 0527	12.4567	16:50	18:00	ATR-72	 
Tirupati	Vijayawada	9I 0528	12.4567	20:10	21:10	ATR-72	 
Tirupati	Visakhapatnam	9I 0528	12.4567	20:10	22:35	ATR-72	1
Tokyo	Delhi	AI 0307	1.3..67	11:30	18:00	B787	 
Udaipur	Delhi	AI 0472	1..4...	15:10	16:30	A-320	 
Udaipur	Delhi	AI 0472	.23.567	15:10	16:30	A-320	 
Udaipur	Jaipur	9I 0686	..3.5.7	11:30	13:25	ATR-72	 
Udaipur	Mumbai	AI 0644	1.3.5.7	16:20	17:50	A-320	 
Vadodara	Delhi	AI 0820	1.3..6.	20:20	21:45	A-321	 
Vadodara	Delhi	AI 0820	.2.45.7	20:20	21:45	A-319	 
Varanasi	Agra	AI 0406	1.3..6.	12:10	13:20	A-319	 
Varanasi	Colombo	AI 0271	....5.7	12:35	15:55	A-321	 
Varanasi	Delhi	AI 0433	1234567	15:30	16:55	A-319	 
Varanasi	Delhi	AI 0405	1.3..6.	16:50	18:25	A-319	 
Varanasi	Delhi	AI 0405	.2.4...	16:50	18:25	A-321	 
Varanasi	Delhi	AI 0428	1..4...	19:20	21:10	A-320	 
Varanasi	Delhi	AI 0428	.2...6.	19:20	21:10	A-320	 
Varanasi	Delhi	AI 0405	....5.7	21:10	23:25	A-321	 
Varanasi	Khajuraho	AI 0406	1.3..6.	12:10	14:40	A-319	1
Varanasi	Kolkata	AI 0421	.2.4...	12:10	13:20	A-321	 
Varanasi	Lucknow	AI 0696	.2.4.6.	15:10	16:10	A-319	 
Varanasi	Mumbai	AI 0696	1.3.5.7	13:25	15:40	A-319	 
Varanasi	Mumbai	AI 0696	.2.4.6.	15:10	19:15	A-319	1
Vienna	Delhi	AI 0154	1.3.5.7	22:45	10:20+1	B787	 
Vijayawada	Delhi	AI 0460	1..45.7	9:05	11:20	A-320	 
Vijayawada	Delhi	AI 0460	.23..6.	9:05	11:20	A-319	 
Vijayawada	Delhi	AI 0840	1234567	17:30	21:25	A-320	1
Vijayawada	Delhi	AI 0468	1234567	20:40	22:55	A-320	 
Vijayawada	Hyderabad	9I 0527	12.4567	15:10	18:00	ATR-72	1
Vijayawada	Hyderabad	9I 0537	..3....	16:25	17:30	ATR-72	 
Vijayawada	Hyderabad	AI 0840	1234567	17:30	18:25	A-320	 
Vijayawada	Tirupati	9I 0527	12.4567	15:10	16:20	ATR-72	 
Vijayawada	Visakhapatnam	9I 0540	1234567	8:20	9:20	ATR-72	 
Vijayawada	Visakhapatnam	9I 0538	..3....	19:50	20:50	ATR-72	 
Vijayawada	Visakhapatnam	9I 0528	12.4567	21:35	22:35	ATR-72	 
Visakhapatnam	Delhi	AI 0452	1234567	7:50	10:20	A-321	 
Visakhapatnam	Delhi	AI 0486	.23.5.7	12:30	14:45	A-320	 
Visakhapatnam	Delhi	AI 0488	1...5..	15:15	17:45	A-320	 
Visakhapatnam	Dubai	AI 0951	1234567	18:00	22:25	A-321	1
Visakhapatnam	Hyderabad	9I 0527	12.4567	13:45	18:00	ATR-72	2
Visakhapatnam	Hyderabad	9I 0537	..3....	15:00	17:30	ATR-72	1
Visakhapatnam	Hyderabad	AI 0951	1234567	18:00	19:10	A-321	 
Visakhapatnam	Mumbai	AI 0651	1.3.5.7	14:15	16:25	A-321	 
Visakhapatnam	Mumbai	AI 0651	.2.4.6.	14:50	17:00	A-321	 
Visakhapatnam	Port Blair	AI 0485	1..4.6.	8:15	10:05	A-320	 
Visakhapatnam	Port Blair	AI 0487	1...5..	9:40	11:50	A-320	 
Visakhapatnam	Tirupati	9I 0527	12.4567	13:45	16:20	ATR-72	1
Visakhapatnam	Vijayawada	9I 0539	1234567	6:55	7:55	ATR-72	 
Visakhapatnam	Vijayawada	9I 0527	12.4567	13:45	14:45	ATR-72	 
Visakhapatnam	Vijayawada	9I 0537	..3....	15:00	16:00	ATR-72	 
Washington	Delhi	AI 0104	..3.5.7	10:25	11:00+1	B777-ER	 
Washington	Hyderabad	AI 0104	..3.5.7	10:25	15:15+1	B777-ER	1
Yangon	Delhi	AI 0236	..3....	12:55	16:25	A-320	1
Yangon	Gaya	AI 0234	1....6.	9:20	10:40	A-319	 
Yangon	Gaya	AI 0236	..3....	12:55	13:55	A-320	 
Yangon	Kolkata	AI 0234	1....6.	9:20	12:35	A-319	1
Yangon	Kolkata	AI 0228	....5..	15:55	17:15	A-319	 
